000001.SS,IDX,PSEI.PS,^AXJO,^FTSE,^HSI,^IXIC,^KLSE,^MXX,^N225,^NSEI,^SET.BK,^STI
-1.6213556483017897,-4.566609648578765,-2.730277997837312,-2.6814933470598885,-2.6913257055925257,-3.5618136157609284,-2.271941838665934,-3.5708872862763723,-3.5246654201530103,-1.5430402720722547,-2.9257415882013,-3.056419723011985,-4.12021075044416
-1.6446223777772568,-4.566609648578765,-2.810103639443176,-2.754869410525738,-2.7427991683972937,-3.75420895953113,-2.1622685755546316,-3.619206875783458,-3.4526914707593446,-1.6051626216551433,-3.0386059322800008,-3.069981029276737,-4.202123562319006
-1.5937409793480282,-4.4986651900663,-2.7774941744713604,-2.659490487630035,-2.755442232812498,-3.715721591935514,-2.2305658357450886,-3.5802294898688376,-3.5008060515593473,-1.548307703279905,-3.0289150642134555,-3.0215545804636914,-4.183576313214792
-1.6301728957902717,-4.370953612220132,-2.786066510043154,-2.9764778148320947,-2.754949112910436,-3.756820731301907,-2.2109886671629364,-3.624227193393494,-3.490129863385451,-1.665560649604511,-3.0737973683634854,-3.0541425611532573,-4.2868919005750605
-1.453823834782254,-4.6340409419373465,-2.8297983192518936,-2.6124656928226075,-2.5733853521391485,-3.6546490592782135,-2.147363364670324,-3.5757297742902496,-3.419264263947042,-1.6344134576490492,-2.94136680151395,-3.0737282143119984,-4.169859164084551
-1.3391428548639945,-4.611999020680737,-2.7997047323981996,-2.7655668192524794,-2.4716569391402192,-3.5095425510219638,-2.1493766043865277,-3.5956239644897514,-3.421228409518763,-1.5531146860861407,-2.9178332789731463,-3.057455370081601,-4.189593673050627
-1.362705189978131,-4.513480911494292,-2.738258303654664,-2.78591102512179,-2.4711847739681208,-3.4522861660488706,-2.0996319225783036,-3.573792147922064,-3.392732571169012,-1.5868608441481138,-2.9461174071264513,-3.054694371000397,-4.2017742027747955
-1.164631745574314,-4.315665250273386,-2.6704039805609123,-2.695981853908955,-2.372700783243049,-3.2204462429133587,-2.028881243999758,-3.459407587435994,-3.2215491236965974,-1.5389862113731951,-2.8691313874870272,-2.9800841858012252,-4.154951800928356
-1.0109165201035137,-4.832782009752362,-2.694938117491003,-2.6004879468785433,-2.5133661981866013,-3.4278466450395673,-2.1067942243967246,-3.4732741988462017,-3.487738156698421,-1.6811614842364395,-2.8093434663933454,-3.0054944924605422,-4.28808535089612
-0.848857284604599,-4.571626718137302,-2.7008998856491018,-2.5053490436258823,-2.5333655828836488,-3.268638274190667,-2.1184599582782453,-3.3704394813958958,-3.4852437703467496,-1.6522684969126424,-2.7443440510894743,-2.970812158427469,-4.197231354151198
-0.8518224345221349,-4.7356497810340485,-2.7276008151603426,-2.7081124592493184,-2.785256454068497,-3.5690602632844315,-2.2219690126534566,-3.44658885186787,-3.6171819209417406,-1.7047207119915524,-2.957930344876298,-3.021895685724395,-4.498969746778519
-1.0982489105329014,-4.6630509140119445,-2.7380399861323617,-2.819721967887968,-2.830479307376279,-3.5335324893246947,-2.2264383104088483,-3.4689885398532616,-3.6465713077942397,-1.7489347797396448,-2.9509367856904025,-3.0124931082433672,-4.439458306961352
-1.0586269470444198,-4.730419988974232,-2.727736648390924,-2.741574199611851,-2.811226481527816,-3.5298396449827356,-2.2686234903055844,-3.43941137699418,-3.661980259882683,-1.7396418567083638,-2.934652642889784,-2.998783127735028,-4.538041580874581
-0.9806853117146275,-4.850701962198045,-2.752797345605233,-2.843524549926362,-3.029045058196978,-3.6945050031928055,-2.2713150660546635,-3.5066414913499435,-3.7569223570333667,-1.7966518734036463,-3.000382531216054,-3.046220030123478,-4.697017392672982
-1.1195099314108012,-4.668193199961455,-2.7691022364517637,-3.0014590549680946,-3.15471898251052,-3.643600022406654,-2.2702990479136185,-3.476881688600497,-3.7644535051686803,-1.8574796785415264,-3.0035830570955295,-3.0693569899414617,-4.6065103502095175
-1.1058308185646457,-4.798956799304128,-2.74504567638682,-3.0107077569543947,-3.098071027107763,-3.5390150946182772,-2.2982245164926107,-3.460290318660812,-3.7900919674137,-1.7784395973723306,-2.9678573337969962,-3.0491800084650222,-4.595676529102978
-1.3066290643434697,-4.857892557032425,-2.7542516094427056,-2.9701891499099133,-2.9838189877629304,-3.5945721141822533,-2.3570871786854024,-3.481309320623576,-3.8316342527527247,-1.7797721486795515,-2.9392095246351047,-3.065061446295342,-4.592683294520577
-1.3996466405643153,-4.861492280383712,-2.7654746704093984,-2.972434458089964,-3.130853947967222,-3.6369424148807328,-2.381116942542036,-3.500076618094433,-3.9124469010488525,-1.7353393908419,-2.9664286825592896,-3.067970772408299,-4.697344028196949
-1.3738111735138414,-5.060941988368311,-2.7873312101891194,-3.1874722639395117,-3.495922692405643,-3.893861842795519,-2.48054077345968,-3.597290474521446,-4.145042104701516,-1.8526659659461526,-3.078863428011211,-3.1737722286480654,-4.990081435931365
