AAPL,ABBV,AMZN,AVGO,BAC,BRK-B,COST,CVX,DIS,GOOG,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NVDA,PFE,PG,TSLA,UNH,V,XOM
-1.0250409779764278,-2.1153809501530256,-1.1356761271562987,-1.3203845205395148,-1.297845064476807,-2.153061629536361,-1.6577987271140855,-0.7201488403460269,-2.1947335659489586,-1.7303377208973456,-1.7335417261637294,-1.5934495173343766,-2.0926593521042447,-1.5243016994844174,-1.8045724376383814,-1.787234193340643,-1.5460170516238605,-1.6040764825814662,-0.7226299784434176,-2.2358678087286674,-2.2853185792248896,-2.384894502884251,-1.4514660542420295,-1.6436061081121423,-0.9254655548685887
-1.056848827161457,-2.1369361278069103,-1.1307756864585166,-1.3179818413906375,-1.3155943356378994,-2.1326774582449275,-1.6196790488510848,-0.7587861553706746,-2.1891012814396236,-1.7290234037413963,-1.73227150526697,-1.5989393448175842,-2.0977038580066,-1.5299014749570132,-1.8045724376383814,-1.7838521920204184,-1.5518189936292026,-1.62837056157518,-0.7224223691342299,-2.2512168306933598,-2.3360744332243244,-2.392896607390474,-1.5097832355215468,-1.641960888141831,-0.9515114801198583
-1.1261581578541433,-2.1696411109101663,-1.1279693631049408,-1.320949898133777,-1.2775617593683477,-2.1215150592376153,-1.6317741377319088,-0.7111036015215058,-2.1389237819049396,-1.6842783927146165,-1.6890270641726277,-1.6026000495002761,-2.0568361548364797,-1.4807432301127172,-1.7896874102581277,-1.7839443058739144,-1.5268453732407428,-1.6618558323023924,-0.7137001414994001,-2.223075376698217,-2.3199261747352384,-2.397915008679879,-1.5074961698995635,-1.624539963572574,-0.8847766755417569
-1.140385978169355,-2.164438319154596,-1.0889748258480345,-1.3234937109291345,-1.282632090551189,-2.1409283617505315,-1.6607302521116627,-0.7727572895242503,-2.2013893943607346,-1.6943537060156562,-1.6987647329162854,-1.6129694182590697,-2.064405298739835,-1.4776315584242883,-1.8789943567119487,-1.7429111413837886,-1.5101962929817696,-1.6651386604070475,-0.7215915889187544,-2.217958549768487,-2.3741430811980697,-2.398728781197372,-1.5074961698995635,-1.6091762917414751,-1.052427916139108
-1.133914337511558,-2.2201839654954285,-1.0976868269398745,-1.3266029715694496,-1.3105231557220178,-2.1234564265167015,-1.6676927938652961,-0.8130406479058938,-2.2121419765784993,-1.6988909157418002,-1.7031495419055709,-1.6013794770850331,-2.063898915003954,-1.4720302409934722,-1.943489920892826,-1.75083929837594,-1.5192776269828667,-1.674331215189676,-0.7274064930866554,-2.207725625321276,-2.3868320446979285,-2.4076804244055343,-1.5232764054162184,-1.589013109957514,-0.962900339871786
-1.1715982269719742,-2.2060619210389154,-1.0978124915559977,-1.3165686432824144,-1.4499731062669063,-2.1472375276991014,-1.6658607606261984,-0.7900205103918176,-2.211117788127002,-1.6838089766146158,-1.6885734632427016,-1.602904830974431,-2.0477556425196384,-1.4738975523981737,-1.945967648222757,-1.6832852074567246,-1.4806820055927612,-1.6644822765260006,-0.7332212472013644,-2.092598113520719,-2.344148269556506,-2.408222810069873,-1.5010925078697817,-1.5556796590386837,-1.0182396993668625
-1.1421767632656314,-2.198629210454796,-1.1020428274857943,-1.306534279870032,-1.3612315599486728,-2.0826884542117825,-1.68382025857728,-0.7135712548560074,-2.210605371626725,-1.6732956374683483,-1.6784126180217351,-1.5891801176145497,-2.024545341883956,-1.431583134918557,-1.963335551457264,-1.7052620376699612,-1.4627716503289945,-1.680240336068036,-0.7328058999659672,-2.0184044877457548,-2.299161617429029,-2.4097148799518897,-1.4841695002407096,-1.5732380771511245,-0.8619867261372923
-1.1569102605419241,-2.179825667690077,-1.0911528261209946,-1.2949451631987752,-1.3992641362182245,-2.09530715638687,-1.7006795852323306,-0.6099947530525873,-2.221358383543861,-1.6779576893527877,-1.6829184333566565,-1.5867399853471007,-2.01647358011286,-1.4322051608645987,-1.975738990114345,-1.7004861590341327,-1.4521767766992335,-1.6559473172236456,-0.7332212472013644,-2.0798042226657696,-2.304928476002095,-2.418123894969482,-1.4908016761223841,-1.5643220463442766,-0.778972983086751
-1.2420542235704997,-2.1617743765153925,-1.071090106664239,-1.2916947337866325,-1.4398310293461565,-2.0482300181333812,-1.6973814497256683,-0.5179217320682415,-2.2208461818932697,-1.7303377208973456,-1.7335417261637294,-1.5934495173343766,-2.005878937745896,-1.448384928469497,-1.9558940031154473,-1.724457291620212,-1.471600671591664,-1.65200749943833,-0.7334288565105521,-2.0235205852632356,-2.25763250281661,-2.4133768805332316,-1.4784520897519426,-1.5713176461635936,-0.7838527134298247
-1.314712917139902,-2.1234150393959195,-1.0745665347858002,-1.3015876474244068,-1.419548290059724,-2.0482300181333812,-1.6687922856237756,-0.4694232150455362,-2.195245552749865,-1.7250809315140792,-1.7284610730649688,-1.5791148070705987,-2.0154658337986184,-1.4191379901230614,-1.8740286050034427,-1.727749800212853,-1.493042683475056,-1.6309967028989814,-0.7379976117914102,-2.054219358604869,-2.2287952808276654,-2.4046964786624847,-1.4725058611318529,-1.5740612469634103,-0.7919959457123859
-1.2221334823521326,-2.0527148004905023,-1.0870062932314477,-1.2918358674331127,-1.3612315599486728,-2.064246020477383,-1.654866182810181,-0.42585435788786485,-2.172716629562209,-1.75555751421485,-1.757915631010658,-1.5818597208122025,-2.0048699361422746,-1.389891976951558,-1.8740286050034427,-1.7347508275251027,-1.4993491547281386,-1.6421585607746545,-0.7357132877414069,-2.056780325012607,-2.226236398437666,-2.40198391977259,-1.4715909943124688,-1.5774905240323291,-0.801755406398533
-1.2377854221674738,-1.9865270145921603,-1.080514153988441,-1.2883028194745338,-1.488005682536458,-2.051141883913037,-1.675756865990064,-0.36255368539412963,-2.1276592128862686,-1.7676667243289612,-1.7696189037839953,-1.5455648327044202,-1.988724655194951,-1.4135369810838894,-1.8268983697949113,-1.7251994447000045,-1.4920336730941326,-1.62837056157518,-0.7323905741667404,-2.000495228785574,-2.1878572633607387,-2.398186201512048,-1.4546678852569204,-1.5818793448024568,-0.6829372181721602
-1.2500852957121034,-1.9188338802872436,-1.0736451007855685,-1.293532070466595,-1.523501112837495,-2.0579364842508654,-1.6669599126159018,-0.32144965816897525,-2.1312429056429236,-1.7889754356739214,-1.7902128008815397,-1.5327543191151407,-1.9720760032062583,-1.412292929191806,-1.7797674910208399,-1.7360952778949283,-1.5041420863525572,-1.62837056157518,-0.7340519202359884,-2.0746881251482887,-2.1564599873323487,-2.3962874636448928,-1.4510086208323374,-1.6039643011590614,-0.5852729949533744
