AAPL,ABBV,AMZN,AVGO,BAC,BRK-B,COST,CVX,DIS,GOOG,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NVDA,PFE,PG,TSLA,UNH,V,XOM
-1.06939764649043,-1.5720125108501082,-1.009775521725329,-1.4359554548493998,-1.1984823753261218,-1.8045789838112594,-1.4425880290047444,-0.917577053502571,-2.413567602405483,-1.5736076842907984,-1.6030978223190182,-1.494485144319498,-2.0038290553456286,-1.345521502615821,-1.732584452868318,-1.2810751522032469,-1.597640343821375,-1.2951257446618267,-0.8300726497943057,-1.7429968607153656,-2.2863773043205984,-2.4931468478702015,-1.3109907193772596,-1.3788663971358313,-1.0015504349735718
-1.0897400005349054,-1.583424360239097,-1.0073678856320853,-1.4339933451279998,-1.208840646889533,-1.791508041088051,-1.4189505380209584,-0.9466571825625677,-2.407979241834368,-1.5727277254423861,-1.6022222175426906,-1.4982186661017,-2.007771913070536,-1.3488467611175952,-1.732584452868318,-1.279527610813093,-1.6023024889846977,-1.3079021640954578,-0.8299628591826589,-1.7521630023343802,-2.3316548094618965,-2.500542346856385,-1.3461960169701452,-1.3779273226489488,-1.0285860612984328
-1.1340654289210523,-1.6007395345818454,-1.0059891105765195,-1.4364171884723425,-1.1866429353277705,-1.7843503756626484,-1.4264505270266614,-0.9107690462827422,-2.358195168827748,-1.5427701400931428,-1.5724124110213067,-1.5007075822509242,-1.9758321166518453,-1.3196591540194542,-1.7213353420423814,-1.2795699247250174,-1.5822349592855882,-1.3255128312044215,-0.8253512341425444,-1.735356594403646,-2.3172483305533014,-2.5051803244807958,-1.3448154686896667,-1.3679883371511143,-0.9593014085173509
-1.1431647727920609,-1.5979847689348363,-0.9868306999091792,-1.4384947889719464,-1.1896022999532998,-1.7967987681720505,-1.4444060868503554,-0.9571755572589818,-2.4201712727645215,-1.5495157425907178,-1.5791249043238444,-1.5077598884339947,-1.981746305133764,-1.3178122357601405,-1.788820280981379,-1.2607972806096879,-1.5688566061528488,-1.3272392344463046,-0.8295236400670246,-1.7323013590609777,-2.3656145061709033,-2.505932408363657,-1.3448154686896667,-1.3592226198183197,-1.1333647408369374
-1.139026490420756,-1.6274989324932612,-0.9911109941860968,-1.4410340370357908,-1.205880786889945,-1.7855952386569225,-1.4487240005701316,-0.9874953089008848,-2.4308395929316933,-1.5525534856708798,-1.5821474964604538,-1.499877910743768,-1.9813523136776003,-1.3144873434560977,-1.8375558913757633,-1.2644242852382743,-1.5761539037388552,-1.3320735617711525,-0.8325980605383707,-1.7261908883756412,-2.3769359729269395,-2.514205465559944,-1.354341539605025,-1.347717743584263,-1.040416101256768
-1.1631256747124208,-1.6200221109985178,-0.9911727344833641,-1.4328390971293452,-1.287273386697858,-1.8008443948284372,-1.4475877407530753,-0.9701682186288807,-2.42982343047966,-1.5424558576165632,-1.5720997290761403,-1.5009150493138352,-1.968734187903474,-1.3155956408907787,-1.8394271769739912,-1.2335179983951194,-1.5451404276607363,-1.3268941130969583,-0.8356724810097168,-1.6574380745723798,-2.3388596167692275,-2.514706735273132,-1.3409499090124068,-1.3286997603942006,-1.097875597682536
-1.1443100391169925,-1.6160869712310737,-0.9932511413245556,-1.4246442432816016,-1.2354783961377065,-1.7594535906438444,-1.458724266833207,-0.9126263550883182,-2.429315455836657,-1.5354169889795357,-1.565095526397929,-1.4915809989277193,-1.9505962575253621,-1.2904728286133738,-1.8525500049023114,-1.2435724348515886,-1.5307485781576773,-1.3351814062046026,-0.8354528657849949,-1.6131310638295528,-2.298724669578324,-2.5160856976812327,-1.3307334108823115,-1.3387174492776022,-0.9356403518800763
-1.1537320521750507,-1.6061318227635317,-0.9879007734784085,-1.415179736715702,-1.2576767681982137,-1.7675450813899565,-1.4691792055763877,-0.8346654283785973,-2.4399831365057474,-1.538538316118043,-1.5682015321632032,-1.4899216559134072,-1.9442870965328567,-1.2908426883222877,-1.8619224808208776,-1.241387615111806,-1.5222350771948059,-1.322405066420487,-0.8356724810097168,-1.64979824385167,-2.303868272764074,-2.523857261022982,-1.334737104986358,-1.3336303486286611,-0.8494535490429349
-1.208184706873524,-1.5965749428836826,-0.9780437564320507,-1.4125251413048239,-1.2813538318233686,-1.7373578067204916,-1.4671333901075174,-0.7653698176942809,-2.439475801360826,-1.5736076842907984,-1.6030978223190182,-1.494485144319498,-1.93600660478334,-1.3004482379209652,-1.846925935790174,-1.252354541656796,-1.53784313007473,-1.3203331435816819,-0.8357823169566012,-1.6161867347632308,-2.2616783928637245,-2.5194700975682447,-1.3272818258768182,-1.3376218623762393,-0.8545217522582422
-1.2546528916095432,-1.5762663773609056,-0.9797517607396685,-1.4206045330605976,-1.2695155476978204,-1.7373578067204916,-1.4494055879070828,-0.7288654119023078,-2.4140751507164313,-1.5700881697572575,-1.5995955620968103,-1.4847362581798038,-1.9434989174096444,-1.2830838738840582,-1.785069442670794,-1.2538607970033313,-1.555072839007018,-1.3092835256375097,-0.8381979030875911,-1.6345203247742894,-2.235949924581416,-2.511447720056822,-1.3236925350531317,-1.3391868587558071,-0.8629713622053655
-1.1954452796721293,-1.538834723777703,-0.9858635399187387,-1.4126404025931554,-1.2354783961377065,-1.7476277483482485,-1.44076912839272,-0.6960713735869203,-2.391723413760191,-1.5904927870868897,-1.6198995514955488,-1.486603068257027,-1.935217837027474,-1.2657193267482856,-1.785069442670794,-1.2570638059557535,-1.5601403981834319,-1.3151536949074876,-0.8369900816875727,-1.6360483780366333,-2.2336686984174454,-2.5089407887233732,-1.323139997345985,-1.3411439666456122,-0.8731116755183969
-1.2054550311055836,-1.5037925698474595,-0.9826738862267962,-1.409754882998338,-1.3094709331349343,-1.7392249824952333,-1.4537243443932728,-0.6484309068748632,-2.3470188740175733,-1.5986001198862556,-1.627966999893808,-1.4619203901052564,-1.9225993188315789,-1.2797584322834181,-1.749453742399743,-1.2526943377875726,-1.5542620496432442,-1.3079021640954578,-0.8352333072293201,-1.6024359977661746,-2.1994309691038034,-2.50543095933739,-1.3129234992158896,-1.343648037512063,-0.7497450261609462
-1.213321662208131,-1.4679539906150287,-0.9792990508930819,-1.4140254887170474,-1.3301891275086184,-1.7435818842585233,-1.4482697494732333,-0.6174927606535294,-2.3505746965185943,-1.6128666833343455,-1.642163046193951,-1.453208839280118,-1.9095879864448269,-1.2790198114587852,-1.7138385284295228,-1.25767872816973,-1.5639917539829806,-1.3079021640954578,-0.8361117341267793,-1.6467430085090018,-2.1714191841868122,-2.503676156715073,-1.3107146342130835,-1.3562483728822463,-0.6483506835160705
-1.199319857783967,-1.5037925698474595,-0.9832706829336931,-1.4140254887170474,-1.2991121661974647,-1.7202412373408964,-1.426677863266714,-0.5760390731588257,-2.330762832777369,-1.616302453379487,-1.645581892787494,-1.447400745241049,-1.9308811840572873,-1.2760645957647907,-1.8206831977385205,-1.2603091288200998,-1.5423026068939152,-1.3113552891772844,-0.836770500464279,-1.6253528763822456,-2.1703849238022768,-2.4952777148480845,-1.290557845576667,-1.3501438776565642,-0.6280759172136331
-1.1721959910959312,-1.4488397833625355,-0.9875509379605807,-1.4142562981560507,-1.2887529038859367,-1.7025023551808336,-1.427359871986872,-0.6317243362495734,-2.268786302508541,-1.535375116735336,-1.5650538990251475,-1.4326737316861744,-1.9245718268538974,-1.2875170636227817,-1.8206831977385205,-1.264976079207133,-1.5404782824974137,-1.2954713439082641,-0.8365508625719384,-1.629937471760287,-2.093611864303203,-2.485124425530509,-1.2920767119733299,-1.3501438776565642,-0.6652518568515255
-1.3586259850037672,-1.462379013499718,-0.9765415400319803,-1.4199118178812475,-1.2724749123233496,-1.676672219707997,-1.4098589846432834,-0.6014067096749538,-2.268786302508541,-1.5087483801756532,-1.538558552899149,-1.4142133930935858,-1.9147143882253024,-1.282344520663962,-1.8244320908457807,-1.25500618491882,-1.5352080163144544,-1.2947807029619958,-0.835892107568248,-1.5993807624235064,-2.1216246944555492,-2.472714884564349,-1.2877967490157098,-1.3461522361437497,-0.555409857700735
