AAPL,ABBV,AMZN,AVGO,BAC,BRK-B,COST,CVX,DIS,GOOG,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NVDA,PFE,PG,TSLA,UNH,V,XOM
-1.1613315999919627,-2.158320749993874,-1.3940733166014239,-1.9725159084614339,-1.457240259427766,-2.197661397763514,-1.726096665918065,-0.8843902879224611,-2.8084628855642855,-2.024072335900554,-2.054981361820765,-1.8857447117232582,-2.445113778894593,-1.711770388445568,-1.8827728898963538,-1.7830199830551925,-2.1221346711710236,-1.7880488276193292,-1.2458509208033728,-2.0765397551688687,-2.575893614398279,-3.5633078575002717,-1.7993562383702177,-1.811983163212984,-0.9930734862507594
-1.1949386991931157,-2.1836886732801943,-1.3867983902470564,-1.9650136177890052,-1.4756251729656058,-2.1762546484913305,-1.687099888318714,-0.9165224824582052,-2.798936943810642,-2.0222908042599,-2.0532052165612527,-1.893473641728816,-2.45177324722087,-1.7181158940444448,-1.8827728898963538,-1.779383422077304,-2.13669255726964,-1.8195798050281151,-1.2451300384058126,-2.0902811832134254,-2.636091422858042,-3.596656183387712,-1.8962632876480754,-1.8099442826224708,-1.0216653014759238
-1.269680573731473,-2.2225855931771443,-1.382647089950259,-1.9742870821641338,-1.4363569742993416,-2.1645729423841047,-1.6994302323837471,-0.8768875195601296,-2.714966915564174,-1.9622486983575929,-1.9933437377789687,-1.8986382770051533,-2.398095697301173,-1.6628500807048927,-1.8687001911626417,-1.7794827862626283,-2.0748667152359332,-1.8637502818541962,-1.2153507131362087,-2.065110136367944,-2.6168960086582236,-3.617860054399633,-1.8923744412957517,-1.7884610914032153,-0.9484956634843218
-1.2852886871684552,-2.2163640952420343,-1.3260490409271537,-1.982283662527632,-1.4415639605529498,-2.1849078691752566,-1.7291126076666576,-0.9281786445940945,-2.819745998163953,-1.975666362417494,-2.0067213690867094,-1.9133256406291168,-2.4079890003809084,-1.6593854509170516,-1.9534627363313524,-1.7357764442714427,-2.0348207950057695,-1.8681256426491604,-1.2422517892864264,-2.0605457534622635,-2.6814945010685776,-3.621319902493936,-1.8923744412957517,-1.7696578638883442,-1.1329652893085167
-1.278178869666774,-2.283687919662809,-1.3385217806975251,-1.992117800115152,-1.4703607553729248,-2.166602569735763,-1.73628506198389,-0.9618794352358605,-2.838034958600379,-1.981727944551162,-2.012764384390896,-1.8969155747721465,-2.4073292823943007,-1.6531578956541724,-2.015186030142436,-1.7441624911235463,-2.0565513537877202,-1.8804214107338144,-1.2625910260176092,-2.051427518034834,-2.6966794990811063,-3.659782907036874,-1.9193616638868851,-1.745180310942579,-1.0341925369788905
-1.3198536420057783,-2.266492162769857,-1.3387024030480075,-1.9606184474267425,-1.6184306187639264,-2.1915353000624673,-1.7343963244213523,-0.9426016912798958,-2.836289669382015,-1.9616249879390792,-1.9927220035087456,-1.8990692251554435,-2.3862495682572678,-1.6552323777430384,-2.0175646283263,-1.6735742092223875,-1.9659893589410617,-1.8672503191268048,-1.2833914342430655,-1.9497876814320663,-2.64570584309188,-3.662137563403138,-1.8815251895631981,-1.7052089111341386,-1.0951796923284545
-1.2872597036404463,-2.2574805024565125,-1.34479472044748,-1.9297938130604178,-1.523403220447442,-2.124161814826782,-1.7529482777317837,-0.8789336264943461,-2.835417465555217,-1.9476890898048695,-1.978827917791818,-1.8797478494040896,-2.3561126917704347,-1.6085409144375573,-2.0342631426772835,-1.6963237391105792,-1.9254920752291296,-1.8883602785969287,-1.2818898549841744,-1.8851985163288651,-2.5922718734747985,-3.6686295496804373,-1.8531279933227305,-1.7261883588100415,-0.9235850866526079
-1.3035310704083212,-2.2348005431877866,-1.3291581426145114,-1.894995722379274,-1.5637797532037254,-2.137257901812698,-1.7704471024744075,-0.7935223688857109,-2.8537702750706053,-1.9538610377000494,-1.9849814487220747,-1.876327341074109,-2.345674772405572,-1.6092233065335568,-2.0462087889188263,-1.6913629570123665,-1.9019661375715409,-1.8558946050825318,-1.2833914342430655,-1.9386002780972662,-2.5991030180468306,-3.7056201626606255,-1.8642090038291286,-1.7155139238412316,-0.8331766417213695
-1.399580538221355,-2.213184962309094,-1.300744002357311,-1.885384737173468,-1.6074239146885076,-2.088582185531272,-1.767016635851997,-0.7184092490632116,-2.852895725160037,-2.024072335900554,-2.054981361820765,-1.8857447117232582,-2.3320104446522754,-1.6269976174074268,-2.0271027668248336,-1.716362283608641,-1.945339350947024,-1.8506719128598261,-1.2841433405780514,-1.8896304394048278,-2.5432163625118887,-3.6846536174766578,-1.8436235109594052,-1.72388580409958,-0.8384788421311692
-1.4843972564639554,-2.167752292869023,-1.3056316249184206,-1.914838041481133,-1.5855267176814627,-2.088582185531272,-1.7374184721986876,-0.6791394628265278,-2.8093290700440154,-2.0169530553702253,-2.047883281351233,-1.8656659744497284,-2.3443724257505405,-1.5949392040313966,-1.9487301718448256,-1.7198150913751786,-1.9944902018354849,-1.8230144868158227,-1.3008375256583236,-1.9162911548821273,-2.5092965398042106,-3.6468785108534454,-1.833786949422901,-1.7271755140392897,-0.8473225155894337
