Date,AAPL,ABBV,AMZN,AVGO,BAC,BRK-B,COST,CVX,DIS,GOOG,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NVDA,PFE,PG,TSLA,UNH,V,XOM
2013-01-02,-1.1613318977366103,-2.158320997721227,-1.3940733166014239,-1.9725160254078398,-1.4572390594342612,-2.197661397763514,-1.7260970769072428,-0.884391068245879,-2.808462969695593,-2.024072335900554,-2.054981361820765,-1.8857438592224594,-2.4451134614921473,-1.711770765019109,-1.8827715305856572,-1.7830201556667682,-2.1221346711710236,-1.788048831103142,-1.245850918406959,-2.076539198808908,-2.575891681044064,-3.5633078575002717,-1.7993564249967855,-1.811983444932527,-0.9930726119371979
2013-01-03,-1.194938698288087,-2.1836894225503354,-1.3867983902470564,-1.965013296587219,-1.4756263175793913,-2.1762546484913305,-1.6870992571815553,-0.9165240503510284,-2.7989373907114707,-2.0222908042599,-2.0532052165612527,-1.893472582855439,-2.4517722659115515,-1.7181152221251483,-1.8827715305856572,-1.7793841978458134,-2.13669255726964,-1.8195802042479516,-1.2451301847854959,-2.0902806258655415,-2.6360922672643827,-3.596656183387712,-1.896263482985824,-1.809945396009849,-1.0216706305222252
2013-01-04,-1.2696808843225176,-2.22258635208907,-1.382647089950259,-1.9742871992413937,-1.4363572335612014,-2.1645729423841047,-1.6994299463044353,-0.8768882991391421,-2.7149669976957567,-1.9622486983575929,-1.9933437377789687,-1.8986384420401263,-2.3980950565203805,-1.6628518260170724,-1.8687006581784518,-1.7794831597696414,-2.0748667152359332,-1.8637498818431704,-1.2153507107199204,-2.0651108828346847,-2.6168975463919253,-3.617860054399633,-1.8923742916529716,-1.788460820648928,-0.9484999345340704
2013-01-07,-1.2852886865614463,-2.2163653574101545,-1.3260490409271537,-1.9822833373215625,-1.4415642202817598,-2.1849078691752566,-1.7291126693658676,-0.9281770725154919,-2.8197460825365877,-1.975666362417494,-2.0067213690867094,-1.9133247793963557,-2.407990657941865,-1.6593861644426116,-1.953461363480016,-1.7357762181287961,-2.0348207950057695,-1.8681254439250794,-1.2422517127324109,-2.060545848750461,-2.6814974521606687,-3.621319902493936,-1.8923742916529716,-1.7696573220527512,-1.1329654566847165
2013-01-08,-1.2781779322838085,-2.2836881779313423,-1.3385217806975251,-1.9921175840854464,-1.470361898037126,-2.166602569735763,-1.7362844232708021,-0.9618778559608371,-2.8380350433641848,-1.981727944551162,-2.012764384390896,-1.8969149229369913,-2.407327983045945,-1.6531572373274708,-2.015184027348234,-1.7441626610035468,-2.0565513537877202,-1.8804216171532888,-1.2625913269028215,-2.051426963471234,-2.696680350800297,-3.659782907036874,-1.9193622106084676,-1.7451811271017479,-1.0341916628281889
2013-01-09,-1.3198542759295462,-2.266492676140029,-1.3387024030480075,-1.9606185634984685,-1.6184302797010257,-2.1915353000624673,-1.7343960361349937,-0.9426009032185287,-2.836289754108492,-1.9616249879390792,-1.9927220035087456,-1.8990689815080843,-2.3862508917654752,-1.6552324046521243,-2.017563861350206,-1.673574181314515,-1.9659893589410617,-1.8672499185046352,-1.2833915869837647,-1.9497884109425443,-2.6457038976208342,-3.662137563403138,-1.881524355208361,-1.7052083826767814,-1.095173624989767
2013-01-10,-1.2872597030399386,-2.257481014304365,-1.34479472044748,-1.929793820145102,-1.523402592335713,-2.124161814826782,-1.7529483400992902,-0.878934406276293,-2.83541681831347,-1.9476890898048695,-1.978827917791818,-1.879748419149321,-2.35611108297107,-1.6085406030585636,-2.0342636124314097,-1.6963239056911403,-1.9254920752291296,-1.8883600780768919,-1.2818900848997181,-1.8851992364484513,-2.5922727126100256,-3.6686295496804373,-1.85312801573276,-1.7261886319426991,-0.9235893495100802
2013-01-11,-1.3035320156337702,-2.234800797295187,-1.3291581426145114,-1.8949953127279464,-1.5637788150139027,-2.137257901812698,-1.7704464584312434,-0.7935262269086104,-2.853771462653788,-1.9538610377000494,-1.9849814487220747,-1.876327707456787,-2.3456744644831575,-1.6092219815253959,-2.046209258878912,-1.6913627346596,-1.9019661375715409,-1.8558952114240008,-1.2833915869837647,-1.9386003687185622,-2.5991052466660585,-3.7056201626606255,-1.8642091962425578,-1.7155141959255396,-0.8331808749317002
2013-01-14,-1.3995810283604184,-2.2131849624562956,-1.300744002357311,-1.8853844338325803,-1.6074235767261638,-2.088582185531272,-1.767017051747666,-0.7184084850836541,-2.852895442820022,-2.024072335900554,-2.054981361820765,-1.8857438592224594,-2.3320107846514495,-1.6269976440100058,-2.02710447423765,-1.716362059129991,-1.945339350947024,-1.8506723173176558,-1.2841430277270007,-1.8896305281520291,-2.5432144347903414,-3.6846536174766578,-1.8436237015173358,-1.7238858086032258,-0.8384810331030158
2013-01-15,-1.4843967501697064,-2.1677517961011077,-1.3056316249184206,-1.9148376259951783,-1.585526381897502,-2.088582185531272,-1.7374181837201998,-0.679140223062362,-2.809329881845477,-2.0169530553702253,-2.047883281351233,-1.8656659356983192,-2.344373090443335,-1.5949388939622433,-1.948726959648002,-1.719815063084332,-1.9944902018354849,-1.8230142920413588,-1.3008373652071534,-1.9162899749231532,-2.5092980567729177,-3.6468785108534454,-1.8337861347304496,-1.7271763247432175,-0.8473298211027543
